
Name                                Length LastWriteTime
----                                ------ -------------
activate-ruby.ps1                     2622 1/7/2026 4:37:47 PM
analyze-css-structure.js              2484 1/7/2026 4:37:47 PM
audit-and-fix-images.ps1              9793 1/7/2026 4:37:47 PM
audit-site.ps1                       13045 1/7/2026 4:37:47 PM
build-css.js                          1102 1/9/2026 8:31:53 AM
build-site.ps1                        7851 1/7/2026 4:37:47 PM
check-contrast-wcag.js               10367 1/7/2026 4:37:47 PM
check-contrast.js                     8390 1/7/2026 4:37:47 PM
check-links.js                        3733 1/7/2026 4:37:47 PM
cleanup-old-theme.sh                  3667 1/7/2026 4:37:47 PM
compliance-audit.js                  19032 1/7/2026 4:37:47 PM
comprehensive-audit.js                9620 1/7/2026 6:16:52 PM
consolidate-colors.js                 5862 1/7/2026 4:37:47 PM
convert-images-to-webp.js             4959 1/7/2026 4:37:47 PM
copilot-nav-fix.ps1                   6481 1/7/2026 4:37:47 PM
copilot-safe.ps1                      5563 1/7/2026 4:37:47 PM
deploy-fixes.ps1                      5145 1/7/2026 4:37:47 PM
deploy-to-stone.ps1                  15207 1/7/2026 4:37:47 PM
deploy-to-tillerstead-stone.ps1       5760 1/7/2026 4:37:47 PM
design-icon-placement.mjs            16728 1/7/2026 4:37:47 PM
dev-audit.ps1                         4530 1/7/2026 4:37:47 PM
diagnose-gh-actions.ps1               6236 1/7/2026 4:37:47 PM
encoding-fix.ps1                      8066 1/7/2026 4:37:47 PM
find-all-unprefixed-vars.js           6262 1/7/2026 4:37:47 PM
find-unused-css.js                    1650 1/7/2026 4:37:47 PM
fix-encoding.js                       4435 1/7/2026 4:37:47 PM
fix-image-structure.ps1               7217 1/7/2026 4:37:47 PM
fix-liquid-closers.sh                 6107 1/7/2026 4:37:47 PM
fix-theme-definitions.js              4304 1/7/2026 4:37:47 PM
generate-png-logos.js                 3077 1/7/2026 4:37:47 PM
github-actions-debug.sh               5468 1/7/2026 4:37:47 PM
heading-audit.js                      5685 1/7/2026 4:37:47 PM
image-alt-audit.js                    4580 1/7/2026 4:37:47 PM
improve-site.cjs                     21371 1/7/2026 4:37:47 PM
lighthouse-100-gaps.js                6381 1/7/2026 4:37:47 PM
make-executable.sh                     990 1/7/2026 4:37:47 PM
npm-audit-fix.sh                      2700 1/7/2026 4:37:47 PM
optimize-images.js                    2822 1/7/2026 4:37:47 PM
optimize-images.ps1                   1373 1/7/2026 4:37:47 PM
playwright.config.js                  1310 1/7/2026 4:37:47 PM
post-build-audit.js                   7324 1/7/2026 4:37:47 PM
post-build-link.js                    1286 1/7/2026 4:37:47 PM
quick-build.sh                        1601 1/7/2026 4:37:47 PM
rebuild.sh                            1077 1/7/2026 4:37:47 PM
refactor-css-prefixes.js              5144 1/7/2026 4:37:47 PM
rename-remodel-assets.js              1052 1/7/2026 4:37:47 PM
render-guide-pdf.mjs                   764 1/7/2026 4:37:47 PM
reorganize-docs.ps1                   7831 1/7/2026 4:37:47 PM
rerun_failed_workflows.sh            10673 1/7/2026 4:37:47 PM
reset_github_actions.sh               2101 1/7/2026 4:37:47 PM
run-all-harmony.ps1                  15594 1/7/2026 4:37:47 PM
run-git-commit.sh                     3097 1/7/2026 4:37:47 PM
run-jekyll.sh                         1373 1/7/2026 4:37:47 PM
run-nav-shim.cjs                      5621 1/7/2026 4:37:47 PM
run-nav-shim.js                       5920 1/7/2026 4:37:47 PM
run-quality.ps1                        679 1/7/2026 4:37:47 PM
scaffold-tillerstead.ps1             14946 1/9/2026 12:55:44 AM
scan-css-contrast.cjs                 9087 1/7/2026 4:37:47 PM
setup-git-hooks.ps1                   2886 1/7/2026 4:37:47 PM
setup-ollama-qwen.ps1                 4485 1/7/2026 4:37:47 PM
setup-ollama-qwen.sh                  3294 1/7/2026 4:37:47 PM
slugify.js                            1978 1/7/2026 4:37:47 PM
sync_thumbtack_reviews.js             9605 1/7/2026 4:37:47 PM
test-navigation.js                    6032 1/7/2026 4:37:47 PM
theme-design-agent.js                 9279 1/7/2026 4:37:47 PM
ts-00-bootstrap.ps1                   1308 1/7/2026 4:37:47 PM
ts-10-audit.ps1                       5674 1/7/2026 4:37:47 PM
ts-11-repair-config-and-package.ps1   4088 1/7/2026 4:37:47 PM
ts-15-fix-head-and-frontmatter.ps1    9009 1/7/2026 4:37:47 PM
ts-20-fix-jekyll-config.ps1           2127 1/7/2026 4:37:47 PM
ts-30-fix-asset-links.ps1             4125 1/7/2026 4:37:47 PM
ts-30-maintenance.js                 19031 1/7/2026 4:37:47 PM
ts-40-fix-actions-ghpages.ps1         4842 1/7/2026 4:37:47 PM
ts-90-repo-doctor.js                 11845 1/7/2026 4:37:47 PM
ts-90-stone-audit-and-fix.ps1        13914 1/7/2026 4:37:47 PM
ts-95-merge-to-main.ps1               2038 1/7/2026 4:37:47 PM
ts-95-upgrade-and-fix.ps1             6192 1/7/2026 4:37:47 PM
ts-doctor.config.json                 1033 1/7/2026 4:37:47 PM
upgrade-project.js                   31566 1/7/2026 4:37:47 PM
validate-all.js                       8158 1/7/2026 6:16:51 PM
verify-deployment.js                  8564 1/7/2026 4:37:47 PM


